Model selection results for subset: a6794e56b41e1ce7fbae9986231a8a91
Subset alignment stored here: ./analysis/phylofiles/a6794e56b41e1ce7fbae9986231a8a91.phy
This subset contains the following data_blocks: atpD, thrC
Number of columns in subset: 836
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
RTREV+G+F       | 20              | -8773.36        | 17587.752        | 17586.72        | 17681.293      
JTT+G+F         | 20              | -8782.978       | 17606.986        | 17605.955       | 17700.527      
RTREV+F         | 19              | -8786.973       | 17612.877        | 17611.945       | 17701.79       
JTT+F           | 19              | -8797.03        | 17632.992        | 17632.06        | 17721.904      
CPREV+G+F       | 20              | -8801.249       | 17643.53         | 17642.498       | 17737.07       
LG+G+F          | 20              | -8810.485       | 17662.002        | 17660.97        | 17755.543      
CPREV+F         | 19              | -8824.742       | 17688.416        | 17687.484       | 17777.328      
LG+F            | 19              | -8829.083       | 17697.098        | 17696.166       | 17786.01       
DCMUT+I+F       | 20              | -8828.897       | 17698.826        | 17697.795       | 17792.367      
DAYHOFF+I+F     | 20              | -8830.221       | 17701.473        | 17700.441       | 17795.014      
DCMUT+I+G+F     | 21              | -8829.396       | 17701.928        | 17700.793       | 17800.094      
DAYHOFF+I+G+F   | 21              | -8830.702       | 17704.54         | 17703.404       | 17802.705      
HIVB+I+F        | 20              | -8867.066       | 17775.164        | 17774.133       | 17868.705      
HIVB+I+G+F      | 21              | -8867.097       | 17777.328        | 17776.193       | 17875.494      
DCMUT+G+F       | 20              | -8895.515       | 17832.06         | 17831.03        | 17925.602      
DAYHOFF+G+F     | 20              | -8896.8545      | 17834.74         | 17833.709       | 17928.281      
VT+I            | 1               | -8925.651       | 17853.307        | 17853.303       | 17858.031      
MTREV+I+G+F     | 21              | -8906.91        | 17856.955        | 17855.82        | 17955.121      
VT+I+G          | 2               | -8927.754       | 17859.521        | 17859.508       | 17868.965      
MTREV+I+F       | 20              | -8910.54        | 17862.111        | 17861.08        | 17955.652      
DCMUT+F         | 19              | -8930.463       | 17899.857        | 17898.926       | 17988.77       
DAYHOFF+F       | 19              | -8932.193       | 17903.318        | 17902.387       | 17992.23       
BLOSUM62+I      | 1               | -8952.076       | 17906.156        | 17906.152       | 17910.88       
HIVB+G+F        | 20              | -8933.154       | 17907.34         | 17906.309       | 18000.88       
BLOSUM62+I+G    | 2               | -8954.058       | 17912.129        | 17912.115       | 17921.572      
WAG+I           | 1               | -8962.347       | 17926.697        | 17926.693       | 17931.422      
MTREV+G+F       | 20              | -8944.942       | 17930.916        | 17929.885       | 18024.457      
WAG+I+G         | 2               | -8964.014       | 17932.041        | 17932.027       | 17941.484      
JTT+I           | 1               | -8972.654       | 17947.312        | 17947.309       | 17952.037      
JTT+I+G         | 2               | -8974.239       | 17952.492        | 17952.479       | 17961.936      
VT+G            | 1               | -8992.902       | 17987.809        | 17987.805       | 17992.533      
VT              | 0               | -8995.32        | 17990.64         | 17990.64        | 17990.64       
HIVB+F          | 19              | -8993.304       | 18025.54         | 18024.607       | 18114.451      
BLOSUM62+G      | 1               | -9015.99        | 18033.984        | 18033.98        | 18038.709      
MTREV+F         | 19              | -8997.714       | 18034.36         | 18033.428       | 18123.271      
BLOSUM62        | 0               | -9018.473       | 18036.945        | 18036.945       | 18036.945      
HIVW+I+G+F      | 21              | -9002.157       | 18047.45         | 18046.314       | 18145.615      
HIVW+I+F        | 20              | -9003.525       | 18048.082        | 18047.05        | 18141.623      
CPREV+I         | 1               | -9028.797       | 18059.598        | 18059.594       | 18064.322      
CPREV+I+G       | 2               | -9029.868       | 18063.75         | 18063.736       | 18073.193      
WAG+G           | 1               | -9034.895       | 18071.793        | 18071.79        | 18076.518      
WAG             | 0               | -9044.4795      | 18088.959        | 18088.959       | 18088.959      
JTT+G           | 1               | -9055.947       | 18113.898        | 18113.895       | 18118.623      
LG+I            | 1               | -9057.166       | 18116.336        | 18116.332       | 18121.06       
LG+I+G          | 2               | -9058.224       | 18120.46         | 18120.447       | 18129.904      
JTT             | 0               | -9073.425       | 18146.85         | 18146.85        | 18146.85       
DCMUT+I         | 1               | -9094.915       | 18191.834        | 18191.83        | 18196.559      
DAYHOFF+I       | 1               | -9096.093       | 18194.19         | 18194.186       | 18198.914      
DCMUT+I+G       | 2               | -9095.911       | 18195.836        | 18195.822       | 18205.28       
DAYHOFF+I+G     | 2               | -9097.083       | 18198.18         | 18198.166       | 18207.623      
HIVW+G+F        | 20              | -9078.682       | 18198.395        | 18197.363       | 18291.936      
CPREV+G         | 1               | -9106.505       | 18215.014        | 18215.01        | 18219.738      
RTREV+I         | 1               | -9117.8955      | 18237.795        | 18237.791       | 18242.52       
RTREV+I+G       | 2               | -9119.076       | 18242.166        | 18242.152       | 18251.61       
LG+G            | 1               | -9132.443       | 18266.89         | 18266.887       | 18271.615      
CPREV           | 0               | -9134.284       | 18268.568        | 18268.568       | 18268.568      
HIVB+I          | 1               | -9147.057       | 18296.117        | 18296.113       | 18300.842      
HIVB+I+G        | 2               | -9147.514       | 18299.041        | 18299.027       | 18308.484      
LG              | 0               | -9158.056       | 18316.111        | 18316.111       | 18316.111      
MTMAM+I+G+F     | 21              | -9139.268       | 18321.67         | 18320.535       | 18419.836      
DCMUT+G         | 1               | -9175.862       | 18353.729        | 18353.725       | 18358.453      
DAYHOFF+G       | 1               | -9177.095       | 18356.193        | 18356.19        | 18360.918      
MTMAM+I+F       | 20              | -9163.743       | 18368.518        | 18367.486       | 18462.059      
RTREV+G         | 1               | -9188.989       | 18379.982        | 18379.979       | 18384.707      
MTMAM+G+F       | 20              | -9178.535       | 18398.102        | 18397.07        | 18491.643      
RTREV           | 0               | -9208.295       | 18416.59         | 18416.59        | 18416.59       
DCMUT           | 0               | -9210.811       | 18421.621        | 18421.621       | 18421.621      
HIVW+F          | 19              | -9191.35        | 18421.63         | 18420.7         | 18510.543      
DAYHOFF         | 0               | -9212.477       | 18424.953        | 18424.953       | 18424.953      
HIVB+G          | 1               | -9230.894       | 18463.791        | 18463.787       | 18468.516      
HIVB            | 0               | -9299.636       | 18599.271        | 18599.271       | 18599.271      
MTMAM+F         | 19              | -9302.495       | 18643.922        | 18642.99        | 18732.834      
MTART+I+G+F     | 21              | -9374.455       | 18792.045        | 18790.91        | 18890.21       
MTART+G+F       | 20              | -9396.315       | 18833.662        | 18832.63        | 18927.203      
MTART+I+F       | 20              | -9473.08        | 18987.191        | 18986.16        | 19080.732      
HIVW+I          | 1               | -9548.099       | 19098.201        | 19098.197       | 19102.926      
HIVW+I+G        | 2               | -9547.254       | 19098.521        | 19098.508       | 19107.965      
HIVW+G          | 1               | -9629.649       | 19261.303        | 19261.299       | 19266.027      
MTART+F         | 19              | -9644.982       | 19328.896        | 19327.965       | 19417.809      
HIVW            | 0               | -9765.401       | 19530.803        | 19530.803       | 19530.803      
MTREV+I+G       | 2               | -9773.776       | 19551.566        | 19551.553       | 19561.01       
MTREV+I         | 1               | -9779.279       | 19560.562        | 19560.559       | 19565.287      
MTREV+G         | 1               | -9826.199       | 19654.402        | 19654.398       | 19659.127      
MTREV           | 0               | -9920.406       | 19840.812        | 19840.812       | 19840.812      
MTMAM+I+G       | 2               | -10040.297      | 20084.607        | 20084.594       | 20094.05       
MTMAM+G         | 1               | -10081.333      | 20164.67         | 20164.666       | 20169.395      
MTMAM+I         | 1               | -10093.564      | 20189.133        | 20189.129       | 20193.857      
MTART+I+G       | 2               | -10244.866      | 20493.746        | 20493.732       | 20503.19       
MTART+G         | 1               | -10279.793      | 20561.59         | 20561.586       | 20566.314      
MTMAM           | 0               | -10320.771      | 20641.543        | 20641.543       | 20641.543      
MTART+I         | 1               | -10342.475      | 20686.953        | 20686.95        | 20691.678      
MTART           | 0               | -10600.373      | 21200.746        | 21200.746       | 21200.746      
